timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737722937813,15,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-4,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,4,4,http://localhost:8288/communities/1/meetings,15,0,1
1737722937745,83,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-2,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,4,4,http://localhost:8288/communities/1/meetings,83,0,17
1737722937760,68,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-3,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,4,4,http://localhost:8288/communities/1/meetings,68,0,2
1737722937745,83,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-1,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,4,4,http://localhost:8288/communities/1/meetings,83,0,17
1737722937848,3,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-4,text,true,,665,0,4,4,null,0,0,0
1737722937848,3,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-3,text,true,,665,0,4,4,null,0,0,0
1737722937848,4,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-1,text,true,,665,0,4,4,null,0,0,0
1737722937848,5,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-2,text,true,,665,0,4,4,null,0,0,0
1737722937853,4,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-3,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,4,4,http://localhost:8288/communities/1/meetings,4,0,0
1737722937853,4,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-4,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,4,4,http://localhost:8288/communities/1/meetings,4,0,0
1737722937859,0,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-3,text,true,,665,0,4,4,null,0,0,0
1737722937859,0,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-4,text,true,,665,0,4,4,null,0,0,0
